HERVK14-int	internal	DF0000192	Internal region of ERVK endogenous retrovirus, HERVK14 subfamily
LTR14A	ltr	DF0000410	LTR14A (Long Terminal Repeat) for ERVK endogenous retrovirus
LTR14B	ltr	DF0000411	LTR14B (Long Terminal Repeat) for ERVK endogenous retrovirus
HERVK-int	internal	DF0000188	Internal region of ERVK endogenous retrovirus, HERVK subfamily
LTR5	ltr	DF0000540	LTR5 (Long Terminal Repeat) for ERVK endogenous retrovirus
LTR5A	ltr	DF0000556	LTR5A (Long Terminal Repeat) for ERVK endogenous retrovirus
LTR5B	ltr	DF0000557	LTR5B (Long Terminal Repeat) for ERVK endogenous retrovirus
LTR5_Hs	ltr	DF0000558	LTR5_Hs (Long Terminal Repeat) for ERVK endogenous retrovirus
HERVK9-int	internal	DF0000196	Internal region of ERVK endogenous retrovirus, HERVK9 subfamily
MER9a1	ltr	DF0000969	MER9a1 Long Terminal Repeat for ERVK endogenous retrovirus
MER9a2	ltr	DF0000970	MER9a2 Long Terminal Repeat for ERVK endogenous retrovirus
MER9a3	ltr	DF0000971	MER9a3 Long Terminal Repeat for ERVK endogenous retrovirus
MER9B	ltr	DF0000972	MER9B Long Terminal Repeat for HERVK9 endogenous retrovirus
HERVK13-int	internal	DF0000191	Internal region of ERVK endogenous retrovirus, HERVK13 subfamily
LTR13	ltr	DF0000406	LTR13 (Long Terminal Repeat) for HERVK13 endogenous retrovirus
LTR13A	ltr	DF0000408	LTR13A (Long Terminal Repeat) for HERVK13-like endogenous retrovirus
HERVK22-int	internal	DF0000194	Internal region of ERVK endogenous retrovirus, HERVK22 subfamily
LTR22	ltr	DF0000453	LTR22 (Long Terminal Repeat) for ERVK endogenous retrovirus
LTR22A	ltr	DF0000454	LTR22A (Long Terminal Repeat) for HERVK22 endogenous retrovirus
LTR22B	ltr	DF0000455	LTR22B (Long Terminal Repeat) for ERVK endogenous retrovirus
LTR22B1	ltr	DF0000456	LTR22B1 (Long Terminal Repeat) for ERVK endogenous retrovirus
LTR22B2	ltr	DF0000457	LTR22B2 (Long Terminal Repeat) for ERVK endogenous retrovirus
LTR22C	ltr	DF0000458	LTR22C (Long Terminal Repeat) for ERVK endogenous retrovirus
LTR22C0	ltr	DF0000459	LTR22C0 (Long Terminal Repeat) for ERVK endogenous retrovirus
LTR22C2	ltr	DF0000460	LTR22C2 (Long Terminal Repeat) for ERVK endogenous retrovirus
LTR22E	ltr	DF0000461	LTR22E (Long Terminal Repeat) for ERVK endogenous retrovirus
HERVK3-int	internal	DF0000195	Internal region of HERVK endogenous retrovirus, HERVK3 subfamily
LTR3	ltr	DF0000689	LTR3 (Long Terminal Repeat) for HERVK3 endogenous retrovirus
LTR3A	ltr	DF0000509	LTR3A (Long Terminal Repeat) for HERVK3 endogenous retrovirus
LTR3B	ltr	DF0000510	LTR3B (Long Terminal Repeat) for HERVK3 endogenous retrovirus
LTR3B_	ltr	DF0000511	3' end extension variant of LTR3B
HERVK11-int	internal	DF0000189	Internal region of ERVK endogenous retrovirus, HERVK11 subfamily
MER11A	ltr	DF0000714	MER11A Long Terminal Repeat for HERVK11 endogenous retrovirus
MER11B	ltr	DF0000715	MER11B Long Terminal Repeat for HERVK11 endogenous retrovirus
MER11C	ltr	DF0000717	MER11C Long Terminal Repeat for HERVK11 endogenous retrovirus
HERVK11D-int	internal	DF0000190	Internal region of ERVK endogenous retrovirus, HERVK11D subfamily
MER11D	ltr	DF0000718	MER11D Long Terminal Repeat for HERVK11 endogenous retrovirus
HERVKC4-int	internal	DF0000197	Internal region of ERVK endogenous retrovirus, HERVKC4 subfamily
LTR14	ltr	DF0000409	LTR14 (Long Terminal Repeat) for HERVKC4 endogenous retrovirus
HERVK14C-int	internal	DF0000193	Internal region of ERVK endogenous retrovirus, HERVK14C subfamily
LTR14C	ltr	DF0000412	LTR14C (Long Terminal Repeat) for HERVK14C endogenous retrovirus
HERV17-int	internal	DF0000628	Internal region of ERV1 endogenous retrovirus, HERV17 subfamily
LTR17	ltr	DF0000427	LTR17 (Long Terminal Repeat) for HERV17 endogenous retrovirus
HERV9-int	internal	DF0000173	Internal region of an ERV1 endogenous retrovirus, HERV9 subfamily
LTR12	ltr	DF0000399	LTR12 (Long Terminal Repeat) for HERV9 endogenous retrovirus
LTR12B	ltr	DF0000401	LTR12B (Long Terminal Repeat) for HERV9 endogenous retrovirus
LTR12C	ltr	DF0000402	LTR12C (Long Terminal Repeat) for HERV9 endogenous retrovirus
LTR12D	ltr	DF0000403	LTR12D (Long Terminal Repeat) for HERV9-like endogenous retrovirus
LTR12E	ltr	DF0000404	LTR12E (Long Terminal Repeat) for HERV9-like endogenous retrovirus
LTR12F	ltr	DF0000405	LTR12F (Long Terminal Repeat) for an ERV1-type endogenous retrovirus
LTR12_	ltr	DF0000400	Variant LTR12 (Long Terminal Repeat) for HERV9 endogenous retrovirus
HERV30-int	internal	DF0000170	Internal region of ERV1 endogenous retrovirus, HERV30 subfamily
LTR30	ltr	DF0000486	LTR30 (Long Terminal Repeat) for ERV1 endogenous retrovirus
HERVE-int	internal	DF0000174	Internal region of an ERV1 endogenous retrovirus, HERVE subfamily
LTR2	ltr	DF0000449	LTR2 (Long Terminal Repeat) for Harlequin endogenous retrovirus
LTR2B	ltr	DF0000484	LTR2B (Long Terminal Repeat) for Harlequin endogenous retrovirus
LTR2C	ltr	DF0000485	LTR2C (Long Terminal Repeat) for Harlequin endogenous retrovirus
HERVE_a-int	internal	DF0000175	ERV1 endogenous retrovirus, HERVE_a subfamily
HERV-Fc1-int	internal	DF0000176	ERV1 endogenous retrovirus, HERV-Fc1 subfamily
HERV-Fc1_LTR1	ltr	DF0000177	LTR1 (Long Terminal Repeat) for endgenous retrovirus HERV-Fc1
HERV-Fc1_LTR2	ltr	DF0001337	LTR (Long Terminal Repeat) of endogenous retrovirus, HERV-Fc1 subfamily
HERV-Fc1_LTR3	ltr	DF0000178	LTR3 (Long Terminal Repeat) for endgenous retrovirus HERV-Fc1
HERV-Fc2-int	internal	DF0000179	ERV1 endogenous retrovirus, HERV-Fc2 subfamily
HERV-Fc2_LTR	ltr	DF0000180	LTR (Long Terminal Repeat) for endogenous retrovirus HERV-Fc2
HERVFH19-int	internal	DF0000181	Internal region of ERV1 endogenous retrovirus, HERVFH19 subfamily
LTR19A	ltr	DF0000431	Putative long terminal repeat of endogenous retrovirus
LTR19B	ltr	DF0000432	LTR19B (Long Terminal Repeat) for ERV1 endogenous retrovirus
HERVFH21-int	internal	DF0000182	Internal region of ERV1 endogenous retrovirus, HERVFH21 subfamily
LTR21A	ltr	DF0000450	LTR21A (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR21B	ltr	DF0000451	Long terminal repeat of endogenous retrovirus HERVH22
LTR21C	ltr	DF0000452	LTR21C (Long Terminal Repeat) for ERVL endogenous retrovirus
MER50-int	internal	DF0000815	Internal region of ERV1 endogenous retrovirus, MER50-int subfamily
MER50	ltr	DF0000807	MER50 Long Terminal Repeat for ERV1 endogenous retrovirus
MER50B	ltr	DF0000814	MER50B Long Terminal Repeat for ERV1 endogenous retrovirus
MER50C	ltr	DF0000808	MER50C Long Terminal Repeat for ERV1 endogenous retrovirus
HERVH-int	internal	DF0000183	Internal region of ERV1 endogenous retrovirus, HERVH subfamily
LTR7	ltr	DF0000571	LTR7 (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR7A	ltr		
LTR7B	ltr	DF0000587	LTR7B (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR7C	ltr	DF0000588	LTR7C (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR7Y	ltr	DF0000589	LTR7Y (Long Terminal Repeat) for ERV1 endogenous retrovirus
HERVH48-int	internal	DF0000184	Internal region of ERV1 endogenous retrovirus, HERVH48 subfamily
MER48	ltr	DF0000793	MER48 Long Terminal Repeat for HERVH48 endogenous retrovirus
HERVI-int	internal	DF0000185	Internal region of ERV1 endogenous retrovirus, HERVI subfamily
LTR10A	ltr	DF0000390	LTR10A (Long Terminal Repeat) for an ERV1-type endogenous retrovirus
LTR10B	ltr	DF0000391	LTR10B (Long Terminal Repeat) for HERVI endogenous retrovirus
LTR10B1	ltr	DF0000392	LTR10B1 (Long Terminal Repeat) for HERVI endogenous retrovirus
LTR10B2	ltr	DF0000393	LTR10B2 (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR10C	ltr	DF0000394	LTR10C (Long Terminal Repeat) for HERVI endogenous retrovirus
LTR10D	ltr	DF0000395	LTR10D (Long Terminal Repeat) for HERVI endogenous retrovirus
LTR10E	ltr	DF0000396	LTR10E (Long Terminal Repeat) for HERVI endogenous retrovirus
